stimulus,label,is_match,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,polygon.started,text.started,image.started,polygon_2.started,polygon.stopped,text.stopped,key_resp.started,image.stopped,polygon_2.stopped,key_resp.stopped,key_resp.keys,text_2.started,text_2.stopped,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
C:\Users\Admin\Desktop\bhaktiexperiment\square.png,other,0,0,0,0,2,7.86575479991734,8.82471329998225,8.82471329998225,8.82471329998225,8.874543100013398,9.824708999949507,9.824708999949507,9.824708999949507,9.824708999949507,10.824848099960946,None,10.824848099960946,11.825232399976812,,,999055,001,2024-10-17_09h53.02.462,untitled,2023.1.3,59.97044657626306,
C:\Users\Admin\Desktop\bhaktiexperiment\square.png,self,1,0,1,1,0,11.825232399976812,12.82574769994244,12.82574769994244,12.82574769994244,12.82574769994244,13.825743400026113,13.825743400026113,13.825743400026113,13.825743400026113,14.825925100012682,m,14.825925100012682,15.82616189995315,0.595581499976106,None,999055,001,2024-10-17_09h53.02.462,untitled,2023.1.3,59.97044657626306,
,,,,,,,15.82616189995315,,,,,,,,,,,,,,,,,,,,,
