stimulus,label,is_match,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,polygon.started,text.started,image.started,polygon_2.started,polygon.stopped,key_resp.started,text.stopped,image.stopped,polygon_2.stopped,key_resp.stopped,key_resp.keys,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
C:\Users\Admin\Desktop\bhaktiexperiment\square.png,self,1,0,0,0,0,7.697357699973509,8.65825690003112,8.65825690003112,8.65825690003112,8.702245100052096,9.652509100036696,9.668992700055242,9.668992700055242,9.668992700055242,10.65276950004045,None,10.65276950004045,11.653292100061662,555405,001,2024-10-17_09h52.32.515,untitled,2023.1.3,59.97843174532611,
,,,,,,,11.653292100061662,12.653527499991469,12.653527499991469,12.653527499991469,12.653527499991469,,,,,,,,,,,,,,,
